,account,balance
0,0xb7c8f10f867452efc3809e5b00a1e5a108e27bd3,1479000000000000
1,0x89c98cc6d9917b615257e5704e83906402f0f91f,0
2,0x639114c235fc2641c0ca06c8dcdf8a973955295f,279000000000000
3,0x50130ccbe64dd81a5b256f39b5ac50b10e9fd5fe,0
4,0xfd53f1e9afd1f096ca5121be5c39ab83d61c1e9b,0
5,0x50e6b42a38c0f0af686a6bb3a413765bdd0fc9a4,0
6,0x5f192bd0b841bd935564e478b7de46da4dc4ca4b,3874773000000000
7,0xc24a907ee51202f69bf4788ab44b83f47a853318,0
8,0x71d69cc0806713eb1977b4d4ca3e24b5fab37cb4,0
9,0x8db62456da4258fc75d83054e66f6cb57dfe6880,899000000000000
10,0x0305da1cf735a59eb45128063363a0d759fb9879,0
11,0x5168f3dca8867ebaed49f90c4491c64500d24dab,8349000000000000
12,0x486d22d2d7656e2bee93b07fa0befd4ff1c85fc5,4740000000000000
13,0xd0bb73ae5be8da96863efbf4283b1215d9ad7242,0
14,0x62b90d7f593223658755096a70999527981c52e0,0
15,0x29ee1640543cd480a59c8d0e8337879988ce5717,0
16,0x9c9582fb1b6e1e22f4c09f86fda41681241d590f,0
17,0x5ddcd81c09058a61e05bde838fc4466ba2762db8,7740000000000000
18,0x31f0dbf00ed41288077c00f7e6b2774582b40c77,0
19,0xba5edf1a6ad041116146b5698c20fc6973f21089,0
20,0x2123e3150e5c47380c74fadb29d9faee16c09f62,4740000000000000
21,0xda317ca0d7435baddd3138b664cd9efa41bb2041,0
22,0xba882084cc2aa015f5ed44cb36c36601cfd0c568,0
23,0x9686fc296635760e65d2503bc8b5d1f45428d01e,1305000000000000
24,0xc9f2d3806065aca04f16becd0e1f48b33cdaab7a,609000000000000
25,0x9e7d8de3797d77c4811dee0c283dd5cd940648b3,0
26,0x1acb6fd79ba3d64f95d85983b6c9081a82c6f85a,279000000000000
27,0xc443b3b947d45eb4a5dbbb8417a9a500f2bc40f1,1479000000000000
28,0xdb9fc17b2bb98e2206d7ad00f29e1ada2d3a857c,0
29,0xfc93f42eaacba8f8d8248d949ba79fd935e5e2ee,7740000000000000
30,0x627c9de26cb2034d7315716c94b106a234b6cd23,7740000000000000
31,0x86ca5b542d1d0c8681b9cda2fd9c7cb6aa807d26,189000000000000
32,0x2f97be23124d5fde13c1c5e18add55530aac9c84,0
33,0xe299368a4fe5aa7b6d29e2031f76b044e0e552eb,0
34,0xed55b5f148d1e44c27ffb8b04056f66abc527717,0
35,0xb9b8a2eb41a8315dd8ec120345e0e269e07801a0,7740000000000000
36,0xcc0d085c2ebe546731ddd4bc5fe927b79b48d218,4740000000000000
37,0xaa657563b7a228dfcf368606e47e138adb4cf0e3,540000000000000
38,0xe752f535440411cfc7889212e7f3b4be80d2f41d,405000000000000
39,0x8aa33a7899fcc8ea5fbe6a608a109c3893a1b8b2,0
40,0x5af2be193a6abca9c8817001f45744777db30756,0
41,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,0
42,0x5a84969bb663fb64f6d015dcf9f622aedc796750,0
43,0xfa05a73ffe78ef8f1a739473e462c54bae6567d9,0
44,0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,200000000000000
45,0x983f6d60db79ea8ca4eb9968c6aff8cfa04b3c63,0
46,0xf4134146af2d511dd5ea8cdb1c4ac88c57d60404,0
47,0xcc4ef9eeaf656ac1a2ab886743e98e97e090ed38,0
48,0x68aa3f232da9bdc2343465545794ef3eea5209bd,0
49,0xb110ec7b1dcb8fab8dedbf28f53bc63ea5bedd84,0
50,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0
51,0x40395044ac3c0c57051906da938b54bd6557f212,0
52,0x8ae4bf2c33a8e667de34b54938b0ccd03eb8cc06,0
53,0xab95e915c123fded5bdfb6325e35ef5515f1ea69,0
54,0xe0c72452740414d861606a44ccd5ea7f96488278,0
55,0xf7b098298f7c69fc14610bf71d5e02c60792894c,0
56,0xf54238ad8e48489603412643e81051b91c5ffd37,0
57,0x7654915a1b82d6d2d0afc37c52af556ea8983c7e,0
58,0x0cf0ee63788a0849fe5297f3407f701e122cc023,0
59,0xa74476443119a942de498590fe1f2454d7d4ac0d,0
60,0xb97048628db6b661d4c2aa833e95dbe1a905b280,0
61,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0
62,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,123456789
63,0x519475b31653e46d20cd09f9fdcf3b12bdacb4f5,0
64,0x446593015e30bacdef625f76bcd84d2d2a0a0461,252334620501332492
